conjunto,modelo,semilla,acc,bal_acc,f1_yes,ranking_proxy,auc,logloss,brier,ece,acc@30%,acc@50%,acc_None,acc_Negative,acc_Positive
A-core+B(PCA8),GaussianNB,2,0.7473,0.6982,0.816,0.7047,0.8367,1.1512,0.1794,0.1418,0.8889,0.9111,1.0,0.889,0.571
A-core+B(PCA8),GaussianNB,3,0.7253,0.6696,0.8031,0.6895,0.8413,1.1224,0.1855,0.1558,0.8889,0.9333,1.0,0.889,0.531
A-core+B(PCA8),GaussianNB,4,0.7473,0.7036,0.813,0.7032,0.8378,1.1483,0.1842,0.1423,0.8889,0.9111,1.0,0.889,0.571
A-core+B(PCA8),GaussianNB,5,0.7253,0.6696,0.8031,0.6895,0.8199,1.2193,0.2044,0.1799,0.8889,0.9111,1.0,0.889,0.531
A-core+B(PCA8),GaussianNB,6,0.7582,0.7125,0.8226,0.7123,0.8449,1.1444,0.1846,0.1407,0.8889,0.9333,1.0,0.889,0.592
A-core+B(PCA8),GaussianNB,7,0.7363,0.6946,0.8033,0.6939,0.8224,1.2247,0.1986,0.1721,0.8889,0.9333,1.0,0.889,0.551
A-core+B(PCA8),GaussianNB,8,0.7363,0.6893,0.8065,0.6955,0.8332,1.1375,0.1892,0.1581,0.8889,0.9333,1.0,0.889,0.551
A-core+B(PCA8),GaussianNB,9,0.7692,0.7268,0.8293,0.72,0.8423,1.1237,0.1784,0.1528,0.8889,0.9333,1.0,0.889,0.612
A-core (8v),RF-balanceado,0,0.7473,0.7304,0.7965,0.6949,0.8367,0.8241,0.1543,0.0534,0.9259,0.9333,1.0,0.889,0.571
A-core (8v),RF-balanceado,1,0.7802,0.7625,0.8246,0.722,0.8296,0.8309,0.1571,0.141,0.9259,0.9333,1.0,0.889,0.633
A-core (8v),RF-balanceado,2,0.7692,0.7429,0.8205,0.7156,0.8429,0.8227,0.1531,0.0709,0.9259,0.9111,1.0,0.889,0.612
A-core (8v),RF-balanceado,3,0.7912,0.7714,0.8348,0.7315,0.8551,0.8099,0.1473,0.0763,0.9259,0.9333,1.0,0.889,0.653
A-core (8v),RF-balanceado,4,0.7802,0.7571,0.8276,0.7235,0.8347,0.8338,0.158,0.1146,0.9259,0.9333,1.0,0.889,0.633
A-core (8v),RF-balanceado,5,0.7692,0.7482,0.8174,0.7141,0.8347,0.8269,0.1551,0.0773,0.9259,0.9111,1.0,0.889,0.612
