mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
honest,29,M1+M3+M4+E1,1,0,1,1,1,0,0.729570781573044,0.7692307692307693,0.8235294117647058,0.8214285714285714,0.8402116402116402,0.7663236763236764,0.861904761904762,0.8401360544217688
honest,30,M2+M3+M4+E1,0,1,1,1,1,0,0.7344278343463481,0.7802197802197802,0.8305084745762712,0.7887323943661971,0.8387063119457486,0.7653671836770428,0.8603286384976526,0.84037558685446
honest,31,M1+M2+M3+M4+E1,1,1,1,1,1,0,0.7526611081103787,0.8021978021978022,0.8448275862068966,0.8082191780821918,0.8390157280568239,0.766413875317985,0.8641552511415526,0.8401826484018265
honest,32,E3,0,0,0,0,0,1,0.6854274358120512,0.7032967032967034,0.8,0.765625,0.8395833333333333,0.7600708319458319,0.8567708333333334,0.8400297619047619
honest,33,M1+E3,1,0,0,0,0,1,0.6860455676801831,0.7032967032967034,0.8,0.7734375,0.8395833333333333,0.7600708319458319,0.8567708333333334,0.8400297619047619
honest,34,M2+E3,0,1,0,0,0,1,0.7002268140653768,0.7252747252747253,0.8120300751879699,0.7651515151515151,0.8373737373737373,0.7585030289575745,0.8611111111111112,0.8398268398268398
honest,35,M1+M2+E3,1,1,0,0,0,1,0.7008449459335087,0.7252747252747253,0.8120300751879699,0.7727272727272727,0.8373737373737373,0.7585030289575745,0.8611111111111112,0.8398268398268398
honest,36,M3+E3,0,0,1,0,0,1,0.7259462341433496,0.7582417582417582,0.828125,0.8043478260869565,0.8398282340311326,0.7669094995181952,0.8635265700483092,0.8398895790200138
honest,37,M1+M3+E3,1,0,1,0,0,1,0.7265643660114813,0.7582417582417582,0.828125,0.8115942028985508,0.8398282340311326,0.7669094995181952,0.8635265700483092,0.8398895790200138
honest,38,M2+M3+E3,0,1,1,0,0,1,0.7413029954376109,0.7802197802197802,0.8412698412698413,0.8028169014084507,0.8377673448095984,0.7652594666679173,0.8673708920187794,0.8397048960429242
honest,39,M1+M2+M3+E3,1,1,1,0,0,1,0.7419211273057427,0.7802197802197802,0.8412698412698413,0.8098591549295775,0.8377673448095984,0.7652594666679173,0.8673708920187794,0.8397048960429242
honest,40,M4+E3,0,0,0,1,0,1,0.7221056534277688,0.7582417582417582,0.828125,0.7608695652173914,0.8405797101449275,0.7658126092908701,0.8599033816425121,0.8409247757073844
honest,41,M1+M4+E3,1,0,0,1,0,1,0.7227237852959008,0.7582417582417582,0.828125,0.7681159420289855,0.8405797101449275,0.7658126092908701,0.8599033816425121,0.8409247757073844
honest,42,M2+M4+E3,0,1,0,1,0,1,0.7374624147220301,0.7802197802197802,0.8412698412698413,0.7605633802816901,0.8384976525821597,0.7641934747568551,0.863849765258216,0.840710932260228
honest,43,M1+M2+M4+E3,1,1,0,1,0,1,0.738080546590162,0.7802197802197802,0.8412698412698413,0.7676056338028169,0.8384976525821597,0.7641934747568551,0.863849765258216,0.840710932260228
honest,44,M3+M4+E3,0,0,1,1,0,1,0.7555961760730046,0.8021978021978022,0.8524590163934426,0.7945205479452054,0.8403855910705226,0.7686752364834557,0.8641552511415526,0.8408349641226354
honest,45,M1+M3+M4+E3,1,0,1,1,0,1,0.7562143079411364,0.8021978021978022,0.8524590163934426,0.8013698630136986,0.8403855910705226,0.7686752364834557,0.8641552511415526,0.8408349641226354
