feature_set,n_features,model,cv_repeats,cv_splits,cv_auc,cv_ap,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_sensitivity,cv_specificity,cv_ppv,cv_npv,cv_brier,cv_ece,cv_auc_sd_across_repeats,oof_std_across_repeats
ABCDE_all_text,102,svm_linear,10,5,0.6454081632653061,0.7295610885957426,0.5934065934065934,0.5035714285714286,0.7299270072992701,0.8928571428571429,0.11428571428571428,0.6172839506172839,0.4,0.22629153181644696,0.0770091394142486,0.0371906580169238,0.07027753509335051
ABCDE_all_text,102,hist_gradient_boosting,10,5,0.6331632653061225,0.7192711039885716,0.6373626373626373,0.6089285714285714,0.7130434782608696,0.7321428571428571,0.4857142857142857,0.6949152542372882,0.53125,0.24607404670108485,0.11928133240232378,0.033025183492142965,0.1414736145552693
ABCDE_all_text,102,gaussian_nb,10,5,0.6186224489795918,0.6770803257962,0.6483516483516484,0.5696428571428571,0.7611940298507462,0.9107142857142857,0.22857142857142856,0.6538461538461539,0.6153846153846154,0.31354324313925325,0.2906036416408515,0.023691564271226567,0.11223892195197
ABCDE_all_text,102,rule_pirads3,10,5,0.475,0.6348416147641689,0.6703296703296703,0.5714285714285714,0.7887323943661971,1.0,0.14285714285714285,0.6511627906976745,1.0,0.2169215360466424,0.01395191347473838,0.010155784938732336,0.006818298657073525
ABCDE_all_text,102,rule_eau_psad,10,5,0.47270408163265304,0.5941896940859521,0.6923076923076923,0.6053571428571428,0.7971014492753623,0.9821428571428571,0.22857142857142856,0.6707317073170732,0.8888888888888888,0.21184868304066576,0.019049594098291128,0.013003599764314784,0.011341634025109385
ABCDE_all_text,102,prior_only,10,5,0.44948979591836735,0.6100350391134289,0.6153846153846154,0.5,0.7619047619047619,1.0,0.0,0.6153846153846154,,0.23672289112396697,5.854115443160168e-05,0.0,0.0018795148873657977
A_structured,39,extra_trees,10,5,0.7622448979591836,0.8700326320007191,0.6593406593406593,0.6160714285714286,0.743801652892562,0.8035714285714286,0.42857142857142855,0.6923076923076923,0.5769230769230769,0.19341167603659046,0.11461895624083293,0.024028391508809435,0.046735626127454646
A_structured,39,grad_boosting,10,5,0.761734693877551,0.8492420579537476,0.7032967032967034,0.6678571428571428,0.773109243697479,0.8214285714285714,0.5142857142857142,0.7301587301587301,0.6428571428571429,0.20165465812503494,0.1150427015372313,0.021879131073006212,0.13296638906297248
A_structured,39,logreg_l1,10,5,0.7173469387755103,0.8239227721952385,0.6483516483516484,0.6071428571428571,0.7333333333333333,0.7857142857142857,0.42857142857142855,0.6875,0.5555555555555556,0.21542971768805155,0.10962002325512704,0.03284763457302367,0.0867897723073564
A_structured,39,decision_tree,10,5,0.714795918367347,0.8537626890594887,0.5934065934065934,0.5625,0.6782608695652174,0.6964285714285714,0.42857142857142855,0.6610169491525424,0.46875,0.20728412004796246,0.1367950778693849,0.046224806560612154,0.20964256731408593
A_structured,39,random_forest,10,5,0.7137755102040816,0.8090692976160998,0.6373626373626373,0.5821428571428571,0.736,0.8214285714285714,0.34285714285714286,0.6666666666666666,0.5454545454545454,0.21005416880742606,0.1040141525276722,0.03184462389170003,0.05353131620822725
A_structured,39,logreg_elasticnet,10,5,0.7020408163265306,0.791643368797305,0.6263736263736264,0.5839285714285715,0.7166666666666667,0.7678571428571429,0.4,0.671875,0.5185185185185185,0.22910730248510025,0.1482056284865681,0.0304015281762594,0.09500130924736103
A_structured,39,deep_ensemble_mlp,10,5,0.6974489795918367,0.819112513352866,0.6043956043956044,0.55,0.7096774193548387,0.7857142857142857,0.3142857142857143,0.6470588235294118,0.4782608695652174,0.2429581261268497,0.1952563241729116,0.02580967083681438,0.09234358488048552
A_structured,39,lda,10,5,0.6954081632653062,0.7844701959686243,0.6263736263736264,0.5839285714285715,0.7166666666666667,0.7678571428571429,0.4,0.671875,0.5185185185185185,0.255073648021905,0.20643729809424502,0.026636806697758062,0.1017827659761693
A_structured,39,random_forest_calibrated,10,5,0.6943877551020409,0.7904594750962108,0.6813186813186813,0.6499999999999999,0.7521367521367521,0.7857142857142857,0.5142857142857142,0.7213114754098361,0.6,0.2150371483382437,0.09873310566790025,0.033357515870583436,0.09331231748585771
A_structured,39,hist_gradient_boosting,10,5,0.6806122448979591,0.792146177674174,0.6593406593406593,0.6267857142857143,0.7350427350427351,0.7678571428571429,0.4857142857142857,0.7049180327868853,0.5666666666666667,0.2296569023063051,0.09794909336237148,0.0339179820823425,0.12848120551866374
A_structured,39,logreg_l2,10,5,0.6785714285714286,0.776282727753318,0.5934065934065934,0.5571428571428572,0.6837606837606838,0.7142857142857143,0.4,0.6557377049180327,0.4666666666666667,0.2601174963860545,0.22301607243588484,0.03529819570093882,0.12699610163161132
A_structured,39,gaussian_nb,10,5,0.676530612244898,0.7290764144362696,0.6813186813186813,0.6017857142857143,0.7851851851851852,0.9464285714285714,0.2571428571428571,0.6708860759493671,0.75,0.27042044595560527,0.26596159367638406,0.031291819165540365,0.1230331158816493
A_structured,39,svm_rbf,10,5,0.6688775510204082,0.783162752898872,0.6153846153846154,0.5375,0.7368421052631579,0.875,0.2,0.6363636363636364,0.5,0.22280650478111796,0.06673349216815211,0.0314345756920297,0.04443130417489565
A_structured,39,knn_probabilistic,10,5,0.6653061224489797,0.7834291351623874,0.5934065934065934,0.4982142857142857,0.7338129496402878,0.9107142857142857,0.08571428571428572,0.6144578313253012,0.375,0.2223832383520696,0.06043732032282055,0.024403760438339445,0.027423940985229732
A_structured,39,svm_linear,10,5,0.6627551020408163,0.7309604812665633,0.6043956043956044,0.5125,0.7391304347826086,0.9107142857142857,0.11428571428571428,0.6219512195121951,0.4444444444444444,0.22749243318457815,0.0678308872815763,0.0525692458984087,0.05814117917722988
A_structured,39,knn,10,5,0.6602040816326531,0.7873260386739332,0.6043956043956044,0.5071428571428571,0.7428571428571429,0.9285714285714286,0.08571428571428572,0.6190476190476191,0.42857142857142855,0.22533929634059463,0.09148194229393804,0.029359618404133248,0.051239828665780224
A_structured,39,rule_pirads3,10,5,0.475,0.6348416147641689,0.6703296703296703,0.5714285714285714,0.7887323943661971,1.0,0.14285714285714285,0.6511627906976745,1.0,0.2169215360466424,0.01395191347473838,0.010155784938732336,0.006818298657073525
A_structured,39,rule_eau_psad,10,5,0.47270408163265304,0.5941896940859521,0.6923076923076923,0.6053571428571428,0.7971014492753623,0.9821428571428571,0.22857142857142856,0.6707317073170732,0.8888888888888888,0.21184868304066576,0.019049594098291128,0.013003599764314784,0.011341634025109385
A_structured,39,prior_only,10,5,0.44948979591836735,0.6100350391134289,0.6153846153846154,0.5,0.7619047619047619,1.0,0.0,0.6153846153846154,,0.23672289112396697,5.854115443160168e-05,0.0,0.0018795148873657977
